ds,yhat,yhat_lower,yhat_upper,y,y-yhat
2021-03-05 15:00:00,7141.780889667295,7001.289624605595,7286.507784964743,7062.57,-79.2108896672953
2021-03-05 15:30:00,7455.249850001083,7307.16855238347,7590.146790761151,7278.3,-176.94985000108318
2021-03-05 16:00:00,7672.370787280274,7530.907422261363,7807.529971624929,7526.55,-145.8207872802741
2021-03-05 16:30:00,7931.463684248693,7789.025836903203,8065.553958163604,7720.58,-210.8836842486935
2021-03-05 17:00:00,8083.424702267113,7956.896382308943,8222.456028573297,7982.1,-101.32470226711303
2021-03-05 17:30:00,8348.113034378071,8211.814650247035,8476.145133989517,8029.68,-318.43303437807117
2021-03-05 18:00:00,8249.284965351919,8101.239689654487,8379.4430845788,8142.32,-106.96496535191909
2021-03-05 18:30:00,8336.913864223203,8197.960231989075,8484.544184812998,8067.48,-269.4338642232033
2021-03-05 19:00:00,8130.597603309464,7990.836393201266,8267.22807732977,8077.17,-53.42760330946385
2021-03-05 19:30:00,8140.68471552381,8003.28716599903,8294.308623041155,7946.95,-193.73471552381034
2021-03-05 20:00:00,7927.584262189831,7782.940708673635,8074.904620086206,7851.11,-76.47426218983128
2021-03-05 20:30:00,7835.94350397955,7698.89393492665,7971.6384252534335,7654.96,-180.98350397954982
2021-03-05 21:00:00,7600.566814170351,7464.27427958195,7741.515379915001,7481.96,-118.60681417035084
2021-03-05 21:30:00,7450.515137330361,7298.061001780442,7591.218574547224,7431.72,-18.795137330360376
2021-03-05 22:00:00,7489.30770098096,7354.62092769864,7627.820196019481,7366.77,-122.53770098095993
2021-03-05 22:30:00,7440.080380555521,7309.5311661666865,7580.675898110381,7343.19,-96.890380555521
2021-03-05 23:00:00,7437.568812967378,7311.70932775159,7575.159670912706,7231.9,-205.66881296737847
2021-03-05 23:30:00,7271.298234006501,7126.472717107438,7407.4658271827675,7135.12,-136.17823400650104
2021-03-06 00:00:00,7153.728086577353,7022.530756823813,7286.444274715277,7038.97,-114.75808657735251
2021-03-06 00:30:00,7034.534541778393,6894.808996312331,7182.705859246733,6882.37,-152.16454177839296
2021-03-06 01:00:00,6821.919110266517,6684.648666596157,6963.047322404408,6635.04,-186.87911026651727
2021-03-06 01:30:00,6507.4566385822,6359.156275389571,6649.23671942763,6410.16,-97.2966385822001
2021-03-06 02:00:00,6290.679704800187,6150.0621867081245,6430.630209111914,6163.17,-127.50970480018714
2021-03-06 02:30:00,6056.749970777837,5925.454639258628,6196.132499788233,6089.11,32.360029222162666
2021-03-06 03:00:00,6112.688463639102,5973.661112411569,6251.374858294122,5976.71,-135.9784636391023
2021-03-06 03:30:00,6043.620754777122,5909.7644945751945,6176.6215415897495,5944.09,-99.53075477712173
2021-03-06 04:00:00,6100.833858166257,5964.1673982034135,6246.580441497773,5967.51,-133.3238581662572
